     number     value             datetime_start          datetime_complete               duration  params_batch_size params_dec_activation params_enc_activation  params_ilr  params_latent_space  params_n_layers     state
114     114  0.000010 2024-05-18 09:15:07.774155 2024-05-18 09:20:43.913212 0 days 00:05:36.139057                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
155     155  0.000010 2024-05-20 08:07:37.201438 2024-05-20 08:15:39.689612 0 days 00:08:02.488174                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
58       58  0.000010 2024-05-18 08:04:15.076551 2024-05-18 08:09:50.905252 0 days 00:05:35.828701                 64                  tanh                   elu    0.000100                   36                2  COMPLETE
110     110  0.000010 2024-05-18 09:11:09.674916 2024-05-18 09:14:52.785987 0 days 00:03:43.111071                128                  tanh                  tanh    0.000100                   36                2  COMPLETE
109     109  0.000010 2024-05-18 09:10:13.152067 2024-05-18 09:15:45.853683 0 days 00:05:32.701616                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
203     203  0.000010 2024-05-20 09:40:42.627400 2024-05-20 09:48:47.594967 0 days 00:08:04.967567                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
135     135  0.000010 2024-05-20 07:26:55.485658 2024-05-20 07:34:56.240508 0 days 00:08:00.754850                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
167     167  0.000010 2024-05-20 08:31:42.169074 2024-05-20 08:39:41.728995 0 days 00:07:59.559921                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
126     126  0.000010 2024-05-20 07:10:38.557235 2024-05-20 07:18:51.311492 0 days 00:08:12.754257                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
124     124  0.000010 2024-05-18 09:34:45.239757 2024-05-18 09:39:53.122989 0 days 00:05:07.883232                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
162     162  0.000010 2024-05-20 08:22:56.321876 2024-05-20 08:30:54.938062 0 days 00:07:58.616186                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
55       55  0.000010 2024-05-18 07:58:56.683975 2024-05-18 08:04:39.602285 0 days 00:05:42.918310                 64                   elu                   elu    0.000100                   36                2  COMPLETE
115     115  0.000010 2024-05-18 09:15:46.151879 2024-05-18 09:21:17.827465 0 days 00:05:31.675586                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
188     188  0.000010 2024-05-20 09:10:56.315270 2024-05-20 09:18:52.826641 0 days 00:07:56.511371                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
149     149  0.000010 2024-05-20 07:53:46.311866 2024-05-20 08:01:48.050415 0 days 00:08:01.738549                 64                  tanh                  tanh    0.000050                   36                2  COMPLETE
147     147  0.000010 2024-05-20 07:51:28.446639 2024-05-20 07:59:32.083384 0 days 00:08:03.636745                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
193     193  0.000011 2024-05-20 09:21:46.595326 2024-05-20 09:29:40.044288 0 days 00:07:53.448962                 64                  tanh                  tanh    0.000100                   24                2  COMPLETE
50       50  0.000011 2024-05-18 07:50:33.488615 2024-05-18 07:56:05.185440 0 days 00:05:31.696825                 64                   elu                   elu    0.000100                   36                2  COMPLETE
148     148  0.000011 2024-05-20 07:51:29.402763 2024-05-20 07:59:34.284657 0 days 00:08:04.881894                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
54       54  0.000011 2024-05-18 07:58:34.867442 2024-05-18 08:04:14.785612 0 days 00:05:39.918170                 64                   elu                   elu    0.000100                   36                2  COMPLETE
177     177  0.000011 2024-05-20 08:47:45.070725 2024-05-20 08:55:44.053255 0 days 00:07:58.982530                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
69       69  0.000011 2024-05-18 08:19:27.682317 2024-05-18 08:25:01.766342 0 days 00:05:34.084025                 64                  tanh                   elu    0.000100                   36                2  COMPLETE
117     117  0.000011 2024-05-18 09:20:28.269676 2024-05-18 09:26:04.744411 0 days 00:05:36.474735                 64                  tanh                  tanh    0.000100                   36                2  COMPLETE
73       73  0.000011 2024-05-18 08:25:02.032491 2024-05-18 08:30:33.160800 0 days 00:05:31.128309                 64                  tanh                   elu    0.000100                   36                2  COMPLETE
74       74  0.000011 2024-05-18 08:27:26.715322 2024-05-18 08:33:04.346883 0 days 00:05:37.631561                 64                  tanh                   elu    0.000100                   36                2  COMPLETE
85       85  0.000012 2024-05-18 08:38:49.526929 2024-05-18 08:44:23.239113 0 days 00:05:33.712184                 64                  tanh                   elu    0.000100                   36                2  COMPLETE
57       57  0.000012 2024-05-18 08:02:33.231237 2024-05-18 08:08:06.769655 0 days 00:05:33.538418                 64                  tanh                   elu    0.000100                   36                2  COMPLETE
64       64  0.000012 2024-05-18 08:10:32.547609 2024-05-18 08:16:20.734858 0 days 00:05:48.187249                 64                  tanh                 swish    0.000100                   36                2  COMPLETE
56       56  0.000012 2024-05-18 07:59:06.197421 2024-05-18 08:04:46.570215 0 days 00:05:40.372794                 64                   elu                   elu    0.000100                   36                2  COMPLETE
72       72  0.000012 2024-05-18 08:22:07.683325 2024-05-18 08:27:42.882874 0 days 00:05:35.199549                 64                  tanh                   elu    0.000100                   36                2  COMPLETE
86       86  0.000013 2024-05-18 08:40:58.207193 2024-05-18 08:46:33.786702 0 days 00:05:35.579509                 64                  tanh                   elu    0.000100                   36                2  COMPLETE
71       71  0.000013 2024-05-18 08:21:54.946507 2024-05-18 08:27:32.237478 0 days 00:05:37.290971                 64                  tanh                   elu    0.000100                   36                2  COMPLETE
81       81  0.000013 2024-05-18 08:35:21.742928 2024-05-18 08:40:57.893545 0 days 00:05:36.150617                 64                  tanh                   elu    0.000100                   36                2  COMPLETE
112     112  0.000013 2024-05-18 09:13:33.747564 2024-05-18 09:17:14.465846 0 days 00:03:40.718282                128                  tanh                  tanh    0.000100                   36                2  COMPLETE
